,animation,baby,beauty,book,broadcast,car,computer,delicious,english,game,movie,sports,star,trip,r_trip
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
127,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
129,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
133,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
137,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
138,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
139,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
140,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
141,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
143,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
145,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
146,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
147,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
148,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
153,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
156,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
161,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
163,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
169,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
